from,to,rel
骨髓造血系统相关症状,霉酚酸酯,SideEff-Drug
贫血,霉酚酸酯,SideEff-Drug
白细胞减少,霉酚酸酯,SideEff-Drug
机会性感染,霉酚酸酯,SideEff-Drug
对心血管系统的威胁,环孢素,SideEff-Drug
糖尿病,他克莫司,SideEff-Drug
神经毒性,他克莫司,SideEff-Drug
肾毒性,他克莫司,SideEff-Drug
肝功能受损,他汀类药物,SideEff-Drug
肌肉不适,他汀类药物,SideEff-Drug
无力,他汀类药物,SideEff-Drug
褐色尿,他汀类药物,SideEff-Drug
肌炎,他汀,SideEff-Drug
血糖异常,他汀类药物,SideEff-Drug
糖尿病,他汀类药物,SideEff-Drug
头痛,他汀类,SideEff-Drug
失眠,他汀类,SideEff-Drug
抑郁,他汀类,SideEff-Drug
消化不良,他汀类,SideEff-Drug
腹泻,他汀类,SideEff-Drug
腹痛,他汀类,SideEff-Drug
恶心,他汀类,SideEff-Drug
消化道症状,他汀类,SideEff-Drug
肌损伤,他汀,SideEff-Drug
肌痛,他汀,SideEff-Drug
肌无力,他汀,SideEff-Drug
肌肉触痛,他汀,SideEff-Drug
压痛,他汀,SideEff-Drug
疼痛,他汀,SideEff-Drug
肌肉症状,他汀,SideEff-Drug
横纹肌溶解,他汀类药物,SideEff-Drug
糖尿病,他汀,SideEff-Drug
体重增加,他汀,SideEff-Drug
血糖不良反应,他汀类,SideEff-Drug
胃肠道不适,贝特类,SideEff-Drug
恶心,贝特类,SideEff-Drug
腹泻,贝特类,SideEff-Drug
腹胀,贝特类,SideEff-Drug
皮肤瘙痒,贝特类,SideEff-Drug
荨麻疹,贝特类,SideEff-Drug
皮疹,贝特类,SideEff-Drug
脱发,贝特类,SideEff-Drug
头痛,贝特类,SideEff-Drug
失眠,贝特类,SideEff-Drug
性欲减退,贝特类,SideEff-Drug
肝、肾功能损害,贝特类,SideEff-Drug
药物性横纹肌溶解症,贝特类,SideEff-Drug
胆结石,贝特类,SideEff-Drug
糖代谢异常,烟酸,SideEff-Drug
糖耐量恶化,烟酸,SideEff-Drug
肝功能异常,他汀,SideEff-Drug
肌病,他汀,SideEff-Drug
肌病,非诺贝特,SideEff-Drug
高血糖,糖皮质激素,SideEff-Drug
夜间低血糖,胰岛素,SideEff-Drug
低血糖症状,甲强龙,SideEff-Drug
血糖升高,甲强龙,SideEff-Drug
夜间低血糖,预混胰岛素,SideEff-Drug
痛阈上升,CT,SideEff-Drug
夜间低血糖,BIAsp30,SideEff-Drug
低血糖,BIAsp,SideEff-Drug
低血糖,LM25,SideEff-Drug
低血糖,LM50,SideEff-Drug
低血糖事件,胰岛素,SideEff-Drug
低血糖,GL,SideEff-Drug
低血糖,BIAsp30,SideEff-Drug
体重增加,BIAsp30,SideEff-Drug
夜间低血糖,LM25,SideEff-Drug
低血糖事件,LM25,SideEff-Drug
夜间低血糖,GL,SideEff-Drug
低血糖,口服降糖药物,SideEff-Drug
肝酶升高,SLX-4090,SideEff-Drug
肝脏脂肪增加,SLX-4090,SideEff-Drug
肝脏脂肪变性,BMS-201038,SideEff-Drug
肝酶升高,BMS-201038,SideEff-Drug
肝脏脂肪变性,MTP抑制剂,SideEff-Drug
肝酶升高,MTP抑制剂,SideEff-Drug
致畸,磺脲类药物,SideEff-Drug
致畸,甲苯磺丁脲,SideEff-Drug
致畸,氯磺丙脲,SideEff-Drug
致畸效应,格列本脲,SideEff-Drug
摔倒性骨折,磺脲类药物,SideEff-Drug
低血糖,中效胰岛素,SideEff-Drug
低血糖反应,阿卡波糖,SideEff-Drug
低血糖,西格列汀,SideEff-Drug
低血糖昏迷,格列喹酮,SideEff-Drug
体重增加,预混胰岛素,SideEff-Drug
空腹高血糖,胰岛素,SideEff-Drug
低血糖,长效口服降糖药物,SideEff-Drug
摔倒,长效口服降糖药物,SideEff-Drug
骨折,长效口服降糖药物,SideEff-Drug
体重增加,磺脲类,SideEff-Drug
低血糖事件,磺脲类,SideEff-Drug
低血糖反应,格列本脲,SideEff-Drug
胃肠道的不良反应,二甲双胍,SideEff-Drug
低血糖,α-葡萄糖苷酶抑制剂,SideEff-Drug
低血糖,DPP4抑制剂,SideEff-Drug
低血糖,胰岛素增敏剂,SideEff-Drug
体重增加,双胍,SideEff-Drug
恶心,DPP-4抑制剂,SideEff-Drug
呕吐,DPP-4抑制剂,SideEff-Drug
腹泻,DPP-4抑制剂,SideEff-Drug
致死性低血糖事件,磺脲类,SideEff-Drug
体重增加,格列奈类,SideEff-Drug
体重增加,DPP4抑制剂,SideEff-Drug
低血糖事件,磺脲类药物,SideEff-Drug
致死性低血糖事件,磺脲类药物,SideEff-Drug
低血糖反应,磺脲类药物,SideEff-Drug
低血糖,那格列奈,SideEff-Drug
体重增加,非磺脲类胰岛素促泌剂,SideEff-Drug
体重增加,瑞格列奈,SideEff-Drug
体重增加,那格列奈,SideEff-Drug
低血糖,胰升糖素,SideEff-Drug
过敏反应,福辛普利,SideEff-Drug
低钠血症,氢氯噻嗪,SideEff-Drug
血钾升高,螺内酯,SideEff-Drug
肾功能衰竭,阿利吉仑,SideEff-Drug
高血钾,阿利吉仑,SideEff-Drug
低血压,阿利吉仑,SideEff-Drug
肾功能衰竭,ACEI,SideEff-Drug
高血钾,ACEI,SideEff-Drug
低血压,ACEI,SideEff-Drug
肾功能衰竭,ARB,SideEff-Drug
高血钾,ARB,SideEff-Drug
低血压,ARB,SideEff-Drug
促氧化,抗氧化剂,SideEff-Drug
促氧化,外源性非酶类抗氧化剂,SideEff-Drug
促氧化,维生素C,SideEff-Drug
促氧化,维生素E,SideEff-Drug
促氧化,胡萝卜素,SideEff-Drug
促氧化,褪黑素,SideEff-Drug
减轻体重,双胍类,SideEff-Drug
低血糖,双胍类,SideEff-Drug
水钠潴留,吡格列酮,SideEff-Drug
心力衰竭,吡格列酮,SideEff-Drug
水钠潴留,罗格列酮,SideEff-Drug
减轻体重,糖苷酶抑制剂,SideEff-Drug
减轻体重,阿卡波糖,SideEff-Drug
减轻体重,伏格列波糖,SideEff-Drug
减轻体重,米格列醇,SideEff-Drug
乳酸性酸中毒,口服降糖药,SideEff-Drug
消化道损伤,阿司匹林,SideEff-Drug
过敏,阿司匹林,SideEff-Drug
出血倾向,阿司匹林,SideEff-Drug
出血,阿司匹林,SideEff-Drug
胃肠道反应,利拉鲁肽,SideEff-Drug
低血糖,利拉鲁肽,SideEff-Drug
体重增加,格列美脲,SideEff-Drug
体重增加,利拉鲁肽,SideEff-Drug
软组织水肿,生长激素,SideEff-Drug
关节痛,GH,SideEff-Drug
软组织水肿,GH,SideEff-Drug
关节痛,生长激素,SideEff-Drug
腕管综合征,GH,SideEff-Drug
腕管综合征,生长激素,SideEff-Drug
男子乳腺发育,GH,SideEff-Drug
男子乳腺发育,生长激素,SideEff-Drug
血糖升高,GH,SideEff-Drug
血糖升高,生长激素,SideEff-Drug
红细胞增多症,睾酮,SideEff-Drug
睡眠呼吸暂停加重,睾酮,SideEff-Drug
前列腺癌,睾酮,SideEff-Drug
脱发,酮康唑,SideEff-Drug
蜕皮,酮康唑,SideEff-Drug
胃纳差,酮康唑,SideEff-Drug
关节酸痛,酮康唑,SideEff-Drug
肝功能损伤,酮康唑,SideEff-Drug
超敏反应,西格列汀,SideEff-Drug
过敏反应,西格列汀,SideEff-Drug
血管性水肿,西格列汀,SideEff-Drug
剥脱性皮肤损,西格列汀,SideEff-Drug
皮肤损伤,维格列汀,SideEff-Drug
皮肤病变,维格列汀,SideEff-Drug
水疱,维格列汀,SideEff-Drug
皮疹,维格列汀,SideEff-Drug
溃疡,维格列汀,SideEff-Drug
皮肤不良反应,阿格列汀,SideEff-Drug
过敏反应,阿格列汀,SideEff-Drug
超敏反应,沙格列汀,SideEff-Drug
血管性水肿),沙格列汀,SideEff-Drug
速发过敏反应,沙格列汀,SideEff-Drug
高敏反应,利格列汀,SideEff-Drug
荨麻疹,利格列汀,SideEff-Drug
血管性水肿,利格列汀,SideEff-Drug
局部皮肤剥脱,利格列汀,SideEff-Drug
支气管高敏反应,利格列汀,SideEff-Drug
低血糖,利格列汀,SideEff-Drug
急性胰腺炎,艾塞那肽,SideEff-Drug
急性胰腺炎,利拉鲁肽,SideEff-Drug
胰腺炎,艾塞那肽,SideEff-Drug
胰腺炎,利拉鲁肽,SideEff-Drug
低血糖,GLP一1受体激动剂,SideEff-Drug
罕见肾功能改变,艾塞那肽,SideEff-Drug
生殖道感染,SGLT一2抑制剂,SideEff-Drug
感染,SGLT一2抑制剂,SideEff-Drug
泌尿生殖道感染,SGLT一2抑制剂,SideEff-Drug
细菌和霉菌感染,SGLT一2抑制剂,SideEff-Drug
女性生殖道感染,SGLT一2抑制剂,SideEff-Drug
低血糖,SGLT一2抑制剂,SideEff-Drug
外阴阴道真菌感染,SGLT一2抑制剂,SideEff-Drug
阴道念珠菌病,SGLT一2抑制剂,SideEff-Drug
外阴阴道炎,SGLT一2抑制剂,SideEff-Drug
男性生殖道感染,SGLT一2抑制剂,SideEff-Drug
低血糖,DPP一4抑制剂,SideEff-Drug
DKA,SGLT一2,SideEff-Drug
糖尿病酮症酸中毒,SGLT一2,SideEff-Drug
酮症,SGLT一2,SideEff-Drug
DKA,胰岛素,SideEff-Drug
酮症,胰岛素,SideEff-Drug
DKA,SGLT一2抑制剂,SideEff-Drug
生DKA,SGLT一2抑制剂,SideEff-Drug
骨折,(坎格列净),SideEff-Drug
膀胱癌,SGLT一2抑制剂,SideEff-Drug
肿瘤,SGLT一2抑制剂,SideEff-Drug
足趾截肢,坎格列净,SideEff-Drug
肾损伤,达格列净,SideEff-Drug
肾损伤,坎格列净,SideEff-Drug
洋地黄中毒,地高辛,SideEff-Drug
心绞痛发作,左旋甲状腺素,SideEff-Drug
心律失常,左旋甲状腺素,SideEff-Drug
精神症状,左旋甲状腺素,SideEff-Drug
心力衰竭,口服降糖药,SideEff-Drug
低血糖,格列奈类降糖药,SideEff-Drug
腹泻,硫酸镁,SideEff-Drug
腹泻,氯化镁,SideEff-Drug
甲减,ATD,SideEff-Drug
甲减,131I,SideEff-Drug
甲状腺功能减退,131I,SideEff-Drug
影响生育,131I,SideEff-Drug
致癌,131I,SideEff-Drug
乏力,131I,SideEff-Drug
纳差,131I,SideEff-Drug
恶心,131I,SideEff-Drug
皮肤瘙痒,131I,SideEff-Drug
甲状腺肿胀,131I,SideEff-Drug
放射性甲状腺炎,131I,SideEff-Drug
心率减慢,β肾上腺素能受体阻滞剂,SideEff-Drug
收缩压减低,β肾上腺素能受体阻滞剂,SideEff-Drug
低血糖,TZD,SideEff-Drug
低血糖,艾塞那肽,SideEff-Drug
无力,氯化锂,SideEff-Drug
眩晕,氯化锂,SideEff-Drug
恶心,氯化锂,SideEff-Drug
呕吐,氯化锂,SideEff-Drug
腹泻,氯化锂,SideEff-Drug
抽搐,氯化锂,SideEff-Drug
昏迷,氯化锂,SideEff-Drug
低血糖,IBTs,SideEff-Drug
乳酸性酸,二甲双胍,SideEff-Drug
中毒,二甲双胍,SideEff-Drug
增加体重,磺脲类,SideEff-Drug
增加体重,格列吡嗪,SideEff-Drug
增加体重,格列齐特,SideEff-Drug
增加体重,格列喹酮,SideEff-Drug
增加体重,格列美脲,SideEff-Drug
低血糖,0l一糖苷酶抑制剂,SideEff-Drug
胃肠道反应,0l一糖苷酶抑制剂,SideEff-Drug
胃肠道反应,OL一糖苷酶抑制剂,SideEff-Drug
胃肠道反应,阿卡波糖,SideEff-Drug
胃肠道反应,伏格列波糖,SideEff-Drug
体,噻唑烷二酮类药物,SideEff-Drug
重增加,噻唑烷二酮类药物,SideEff-Drug
水肿,噻唑烷二酮类药物,SideEff-Drug
骨折,噻唑烷二酮类药物,SideEff-Drug
心力衰竭,噻唑烷二酮类药物,SideEff-Drug
低血糖,格列奈类药物,SideEff-Drug
低血糖,0【一糖苷酶抑制剂,SideEff-Drug
胃肠道反应,胰岛素促泌剂,SideEff-Drug
胃肠道反应,胰岛素,SideEff-Drug
低血糖,噻唑烷二酮类药物,SideEff-Drug
胃肠道不良反应,二甲双胍,SideEff-Drug
低血糖,阿卡波糖,SideEff-Drug
体重增加,阿卡波糖,SideEff-Drug
体重增加,噻唑烷二酮类药物,SideEff-Drug
升高LDL-C,噻唑烷二酮类药物,SideEff-Drug
胃肠道不良反应,磺脲类,SideEff-Drug
胃肠不适,磺脲类,SideEff-Drug
胃肠不适,二甲双胍,SideEff-Drug
体重过度增加,胰岛素,SideEff-Drug
体重增加,格列酮类,SideEff-Drug
胃肠道症状,二甲双胍,SideEff-Drug
巨幼红细胞性贫血,二甲双胍,SideEff-Drug
输液反应,利妥昔单抗,SideEff-Drug
一过性眶周水肿,利妥昔单抗,SideEff-Drug
严重感染,利妥昔单抗,SideEff-Drug
多发灶脑白质病,利妥昔单抗,SideEff-Drug
剂量依赖的肝肾毒性,环孢素A,SideEff-Drug
牙龈增生,环孢素A,SideEff-Drug
肌酐轻度升高,环孢素A,SideEff-Drug
肌酐不可逆升高,环孢素A,SideEff-Drug
血压一过性升高,环孢素A,SideEff-Drug
克雷伯氏肺炎,环孢素A,SideEff-Drug
眼内压一过性升高,曲安奈德,SideEff-Drug
充血性心力衰竭,碳酸氢钠,SideEff-Drug
水肿,碳酸氢钠,SideEff-Drug
高钾血症,枸橼酸合剂,SideEff-Drug
胃肠道损伤,选择性环氧化酶2(COx.2)抑制剂,SideEff-Drug
胃肠道症状,别嘌醇,SideEff-Drug
皮疹,别嘌醇,SideEff-Drug
肝功能损害,别嘌醇,SideEff-Drug
骨髓抑制,别嘌醇,SideEff-Drug
别嘌醇超敏反应综合征,别嘌醇,SideEff-Drug
超敏反应,别嘌醇,SideEff-Drug
剥脱性皮炎,别嘌醇,SideEff-Drug
肝功能异常,非布司他,SideEff-Drug
恶心,非布司他,SideEff-Drug
关节痛,非布司他,SideEff-Drug
皮疹,非布司他,SideEff-Drug
痛风发作,非布司他,SideEff-Drug
肝损,苯溴马隆,SideEff-Drug
胃肠不适,苯溴马隆,SideEff-Drug
腹泻,苯溴马隆,SideEff-Drug
皮疹,苯溴马隆,SideEff-Drug
阳痿,苯溴马隆,SideEff-Drug
肠胃不适,丙磺舒,SideEff-Drug
食欲下降,丙磺舒,SideEff-Drug
皮肤出疹,丙磺舒,SideEff-Drug
泌尿系尿酸结石,丙磺舒,SideEff-Drug
肾损伤,NsAIDs,SideEff-Drug
增加体重,胰岛素,SideEff-Drug
增加体重,TZDs,SideEff-Drug
增加体重,磺脲类药物,SideEff-Drug
增重效应,胰岛素,SideEff-Drug
增重,胰岛素,SideEff-Drug
增重,地特胰岛素,SideEff-Drug
增重,基础胰岛素类似物,SideEff-Drug
起体重增加,TZDs,SideEff-Drug
增加体重,抗抑郁焦虑药,SideEff-Drug
增加体重,噻唑烷二酮类,SideEff-Drug
起体重增加,磺脲类药物,SideEff-Drug
水钠潴留,磺脲类药物,SideEff-Drug
低血糖,消渴丸,SideEff-Drug
低血糖,TZDs,SideEff-Drug
水肿,TZDs,SideEff-Drug
体重增加,格列奈类药物,SideEff-Drug
胃肠道反应,α-糖苷酶抑制剂,SideEff-Drug
腹胀,α-糖苷酶抑制剂,SideEff-Drug
排气,α-糖苷酶抑制剂,SideEff-Drug
胃肠道症状,GLP-1受体激动剂,SideEff-Drug
恶心,GLP-1受体激动剂,SideEff-Drug
呕吐,GLP-1受体激动剂,SideEff-Drug
低血糖,人胰岛素,SideEff-Drug
乳酸性酸中毒,双胍类药物,SideEff-Drug
水肿,胰岛素,SideEff-Drug
低血糖,葡萄糖,SideEff-Drug
低血糖,胰岛素类似物,SideEff-Drug
高胰岛素血症,外源性胰岛素,SideEff-Drug
皮呋过敏反应,别嘌醇,SideEff-Drug
肝肾功能损伤,别嘌醇,SideEff-Drug
致死性剥脱性,别嘌醇,SideEff-Drug
皮炎,别嘌醇,SideEff-Drug
超敏反应综合征,别嘌醇,SideEff-Drug
肝功能损害,非布司他,SideEff-Drug
肝功能损害,苯溴马隆,SideEff-Drug
低血糖,格列吡嗪控释片,SideEff-Drug
低血糖,格列齐特缓释片,SideEff-Drug
低血糖,药格列奈,SideEff-Drug
低血糖,磺脲类促泌剂,SideEff-Drug
严重低血糖,格列齐特缓释片,SideEff-Drug
低血糖,格列苯脲,SideEff-Drug
低血糖,甘精胰岛素,SideEff-Drug
低血糖,甘精胰岛,SideEff-Drug
低血糖,是胰岛素,SideEff-Drug
体重增加,格列本脲,SideEff-Drug
体重增,格列齐特,SideEff-Drug
体重增,格列美脲,SideEff-Drug
增加患者体重,格列齐特缓释片,SideEff-Drug
增加体重,胰岛素促泌剂,SideEff-Drug
胰岛β细胞凋亡,胰岛素促泌剂,SideEff-Drug
加重β细胞功能衰竭,胰岛素促泌剂,SideEff-Drug
加重或加速β细胞衰竭,胰岛素促泌剂,SideEff-Drug
加重或加速了β细胞的衰竭,磺脲类药物,SideEff-Drug
心血管死亡,甲苯磺丁脲,SideEff-Drug
低血糖,中长效磺脲类促泌剂,SideEff-Drug
严重低血糖,胰岛素促泌剂,SideEff-Drug
体重增加,基础胰岛素,SideEff-Drug
严重低血糖,基础胰岛素,SideEff-Drug
严重低血糖,格列奈类,SideEff-Drug
体重增加,口服降糖药物,SideEff-Drug
胰岛素抵抗,胰岛素,SideEff-Drug
糖、脂代谢及电解质紊乱,糖皮质激素,SideEff-Drug
眼周炎症的复发,依那西普,SideEff-Drug
眼周炎症的复发,Etanercept,SideEff-Drug
感染,英夫利西单抗,SideEff-Drug
致肿瘤,英夫利西单抗,SideEff-Drug
免疫抑制,RTX,SideEff-Drug
进行性的斜视,RTX,SideEff-Drug
全身性不良反应,糖皮质激素,SideEff-Drug
高血压,糖皮质激素,SideEff-Drug
糖尿病,糖皮质激素,SideEff-Drug
骨质疏松,糖皮质激素,SideEff-Drug
类库欣症状,糖皮质激素,SideEff-Drug
发热,RTX,SideEff-Drug
寒战,RTX,SideEff-Drug
恶心,RTX,SideEff-Drug
呕吐,RTX,SideEff-Drug
低血压,RTX,SideEff-Drug
过敏反应,RTX,SideEff-Drug
急性输液反应,RTX,SideEff-Drug
心搏骤停,RTX,SideEff-Drug
暂时性的恶心,RTX,SideEff-Drug
轻度体温升高,RTX,SideEff-Drug
急性肝衰竭,GC,SideEff-Drug
心血管,GC,SideEff-Drug
脑血管事件,GC,SideEff-Drug
致命性不良反应,GC,SideEff-Drug
心血管事件,GC,SideEff-Drug
心血管事件,甲强龙,SideEff-Drug
脑血管事件,甲强龙,SideEff-Drug
急性肝衰竭,甲强龙,SideEff-Drug
致命性不良反应,甲强龙,SideEff-Drug
高血压,环孢素,SideEff-Drug
肝脏和神经毒性,环孢素,SideEff-Drug
心血管,甲强龙,SideEff-Drug
低血糖,GLP.1受体激动剂,SideEff-Drug
恶心,GLP一1受体激动剂,SideEff-Drug
呕吐,GLP一1受体激动剂,SideEff-Drug
体液潴留,胰岛素,SideEff-Drug
体重减轻,利拉鲁肽,SideEff-Drug
肾脏钙盐沉着,中性磷,SideEff-Drug
肾功能不全,活性维生素D,SideEff-Drug
继发性甲状旁腺功能亢进症,中性磷,SideEff-Drug
继发性甲状旁腺功能亢进症,磷,SideEff-Drug
继发性甲状旁腺功能亢进症,口服磷溶液,SideEff-Drug
继发性甲状旁腺功能亢进症,中性磷溶液,SideEff-Drug
高尿钙,中性磷溶液,SideEff-Drug
肾功能不全,中性磷,SideEff-Drug
肾脏钙盐沉着,活性维生素D,SideEff-Drug
肾脏钙盐沉着,骨化三醇,SideEff-Drug
肾功能不全,骨化三醇,SideEff-Drug
心血管的风险,罗格列酮,SideEff-Drug
充血性心力衰竭,罗格列酮,SideEff-Drug
骨折,罗格列酮,SideEff-Drug
心肌梗死,罗格列酮,SideEff-Drug
卒中,罗格列酮,SideEff-Drug
骨折,TZD,SideEff-Drug
心力衰竭,二甲双胍,SideEff-Drug
心肌梗死,TZD,SideEff-Drug
卒中,TZD,SideEff-Drug
夜间低血糖,赖脯胰岛素,SideEff-Drug
夜间低血糖,常规胰岛素,SideEff-Drug
低血糖,赖脯胰岛素,SideEff-Drug
低血糖,常规胰岛素,SideEff-Drug
低血糖,谷赖胰岛素,SideEff-Drug
体重增加,门冬胰岛素,SideEff-Drug
体重增加,赖脯胰岛素,SideEff-Drug
低血糖,门冬胰岛素,SideEff-Drug
高血糖,赖脯胰岛素,SideEff-Drug
高血糖,门冬胰岛素,SideEff-Drug
低血糖,常规人胰岛素,SideEff-Drug
夜间低血糖,甘精胰岛素,SideEff-Drug
低血糖,赖脯,SideEff-Drug
粒细胞缺乏症,抗甲状腺药物,SideEff-Drug
粒细胞缺乏症,ATD,SideEff-Drug
胚胎病,甲巯咪唑,SideEff-Drug
食管闭锁,甲巯咪唑,SideEff-Drug
鼻后孔闭锁,甲巯咪唑,SideEff-Drug
伴或不伴脐膨出的卵黄管未闭,MMI,SideEff-Drug
先天性表皮发育不全,MMI,SideEff-Drug
低血糖,达格列净,SideEff-Drug
低血糖,卡格列净,SideEff-Drug
低血糖,艾格列净,SideEff-Drug
膀胱肿瘤,达格列净,SideEff-Drug
低血糖,钠-葡萄糖共转运蛋白2抑制剂,SideEff-Drug
泌尿生殖道感染,SGLT2i,SideEff-Drug
