from,to,rel
有氧运动,血脂代谢异常,Treatment_Disease
单纯有氧运动,血脂代谢异常,Treatment_Disease
单纯抗阻力运动,肥胖,Treatment_Disease
单纯抗阻力运动,脂代谢紊乱,Treatment_Disease
有氧或抗阻力运动,脂质代谢紊乱,Treatment_Disease
有氧或抗阻力运动,心血管疾病,Treatment_Disease
有氧或抗阻力运动,糖尿病前期,Treatment_Disease
抗阻力运动,超重,Treatment_Disease
长期运动,糖尿病前期,Treatment_Disease
柔韧性运动,糖尿病前期,Treatment_Disease
有氧和抗阻力运动,糖尿病前期,Treatment_Disease
有氧、抗阻力运动,胰岛素抵抗,Treatment_Disease
运动,胰岛素抵抗,Treatment_Disease
抗阻力运动、有氧运动,胰岛素抵抗,Treatment_Disease
有氧、抗阻力运动,慢性亚临床炎症,Treatment_Disease
医学营养治疗,营养不良,Treatment_Disease
截肢,糖尿病微血管病变,Treatment_Disease
营养治疗,糖尿病,Treatment_Disease
营养治疗,糖尿病前期,Treatment_Disease
营养治疗,超重,Treatment_Disease
营养治疗,肥胖,Treatment_Disease
放射性碘(131I)治疗,甲亢,Treatment_Disease
131I治疗,甲亢危象,Treatment_Disease
131I治疗,甲亢,Treatment_Disease
131I,甲亢,Treatment_Disease
131I,老年甲亢,Treatment_Disease
131I治疗,老年甲亢,Treatment_Disease
131I,老年重症Graves病,Treatment_Disease
雌孕激素人工周期替代治疗,先天性闭经,Treatment_Disease
人工周期治疗,先天性闭经,Treatment_Disease
血液透析,肾功能损害,Treatment_Disease
核医学131I治疗,格雷夫斯甲亢,Treatment_Disease
131I治疗,格雷夫斯甲亢,Treatment_Disease
外照射,格雷夫斯甲亢,Treatment_Disease
131I治疗,Graves甲亢,Treatment_Disease
131I,甲状腺毒症,Treatment_Disease
131I,格雷夫斯甲亢,Treatment_Disease
降压治疗,高血压,Treatment_Disease
化疗,SIADH,Treatment_Disease
肺癌化疗,原发性肾上腺皮质功能不全,Treatment_Disease
肺癌化疗,SIADH,Treatment_Disease
化疗,小细胞肺癌,Treatment_Disease
眼眶照射治疗,GO,Treatment_Disease
单侧眼眶照射治疗,GO,Treatment_Disease
眼眶照射,GO,Treatment_Disease
免疫抑制治疗,活动性GO,Treatment_Disease
人工眼泪,GO,Treatment_Disease
润滑软膏,GO,Treatment_Disease
放射治疗,GO,Treatment_Disease
免疫抑制治疗,GO,Treatment_Disease
放射碘治疗,GO,Treatment_Disease
放射碘治疗,非活动性GO,Treatment_Disease
放射碘治疗,甲亢,Treatment_Disease
康复治疗,非活动性GO,Treatment_Disease
免疫抑制治疗,Graves甲亢,Treatment_Disease
维持性腹膜透析,肾病,Treatment_Disease
腹透,肾病,Treatment_Disease
化疗,白血病,Treatment_Disease
化疗,淋巴瘤,Treatment_Disease
放疗,白血病,Treatment_Disease
放疗,淋巴瘤,Treatment_Disease
碱化尿液,cKD,Treatment_Disease
伽玛刀治疗,垂体瘤,Treatment_Disease
伽玛刀治疗,PA,Treatment_Disease
患足减压,高血压病,Treatment_Disease
制动,高血压病,Treatment_Disease
换药,高血压病,Treatment_Disease
减压,右足底溃疡,Treatment_Disease
制动,右足底溃疡,Treatment_Disease
换药,右足底溃疡,Treatment_Disease
减压,糖尿病夏克氏足,Treatment_Disease
制动,糖尿病夏克氏足,Treatment_Disease
换药,糖尿病夏克氏足,Treatment_Disease
制动和减少压力,急性Charcot足,Treatment_Disease
制动,Charcot足,Treatment_Disease
减压,Charcot足,Treatment_Disease
减压,畸形,Treatment_Disease
制动,畸形,Treatment_Disease
制动,2型糖尿病,Treatment_Disease
加压,2型糖尿病,Treatment_Disease
患足减压,左足糖尿病夏克氏足,Treatment_Disease
制动,左足糖尿病夏克氏足,Treatment_Disease
换药,左足糖尿病夏克氏足,Treatment_Disease
免疫干预治疗,1型糖尿病,Treatment_Disease
免疫干预治疗,LADA,Treatment_Disease
脂代谢早期干预和管理,PCOS,Treatment_Disease
脂代谢早期干预和管理,HI,Treatment_Disease
脂代谢早期干预和管理,肥胖,Treatment_Disease
隔日限食,2型糖尿病,Treatment_Disease
每日限食,2型糖尿病,Treatment_Disease
隔日限食,糖尿病前期,Treatment_Disease
每日限食,糖尿病前期,Treatment_Disease
限食,2型糖尿病,Treatment_Disease
限食,肥胖,Treatment_Disease
限食,糖尿病前期,Treatment_Disease
每日限食,肥胖,Treatment_Disease
限食疗法,糖尿病,Treatment_Disease
每日热卡限制,2型糖尿病,Treatment_Disease
每天限食50%,超重,Treatment_Disease
每天限食25%,超重,Treatment_Disease
25%~30%的热量限制,糖尿病前期,Treatment_Disease
50%高蛋白饮食,胰岛素抵抗,Treatment_Disease
严格限食,胰岛素抵抗,Treatment_Disease
25%热量限制,胰岛素抵抗,Treatment_Disease
50%热量限制,胰岛素抵抗,Treatment_Disease
50%高蛋白饮食限食,胰岛素抵抗,Treatment_Disease
25%热量限制,超重,Treatment_Disease
25%热量限制,肥胖,Treatment_Disease
高能量限制饮食,肥胖,Treatment_Disease
50%每日限食,肥胖,Treatment_Disease
限食,超重,Treatment_Disease
每日限食,超重,Treatment_Disease
25%每日限食,肥胖,Treatment_Disease
运动治疗,糖尿病,Treatment_Disease
运动治疗,2型糖尿病,Treatment_Disease
医学营养治疗,超重,Treatment_Disease
医学营养治疗,肥胖,Treatment_Disease
医学营养治疗,2型糖尿病,Treatment_Disease
人工周期治疗,IHH,Treatment_Disease
促排卵治疗,IHH,Treatment_Disease
激素替代治疗,骨质疏松,Treatment_Disease
激素替代治疗,高胰岛素血症,Treatment_Disease
静脉补钠、补水,头颅外伤,Treatment_Disease
补钠,CSWS,Treatment_Disease
补液,CSWS,Treatment_Disease
限制饮水量,SIADH,Treatment_Disease
补钠治疗,CSWS,Treatment_Disease
长期高钠饮食,CSWS,Treatment_Disease
限制进水,CSWS,Treatment_Disease
限制饮水,CSWS,Treatment_Disease
长期补充高钠,SIADH,Treatment_Disease
长期补充高钠,高钠血症,Treatment_Disease
补钠,低钠血症,Treatment_Disease
补液,低钠血症,Treatment_Disease
补钠,SIADH,Treatment_Disease
补液,SIADH,Treatment_Disease
血液透析治疗,DKD,Treatment_Disease
溶石,肾石症,Treatment_Disease
碱化尿液,肾石症,Treatment_Disease
肾脏,痛风,Treatment_Disease
肾脏,HUA,Treatment_Disease
急性期,HUA,Treatment_Disease
急性期,痛风,Treatment_Disease
急性发作期,HUA,Treatment_Disease
心肾功能,HUA,Treatment_Disease
心肾功能,痛风,Treatment_Disease
急性发作,HUA,Treatment_Disease
致死性剥脱性,HUA,Treatment_Disease
致死性剥脱性,痛风,Treatment_Disease
皮炎,HUA,Treatment_Disease
皮炎,痛风,Treatment_Disease
早餐后服用,痛风,Treatment_Disease
碱化尿液,轻中度肾功能异常,Treatment_Disease
碱化尿液,肾移植,Treatment_Disease
局部清创,糖尿病足溃疡,Treatment_Disease
局部感染坏死组织清创,足溃疡,Treatment_Disease
改善心功能,足溃疡,Treatment_Disease
营养支持,足溃疡,Treatment_Disease
改善血供,足溃疡,Treatment_Disease
全身抗菌素抗感染,足溃疡,Treatment_Disease
去除感染灶,糖尿病足溃疡,Treatment_Disease
清创,糖尿病足溃疡,Treatment_Disease
充分引流脓液,左足感染坏死,Treatment_Disease
去除感染灶,感染,Treatment_Disease
清创,感染,Treatment_Disease
局部感染坏死组织清创,条件致病菌感染,Treatment_Disease
局部清创,溃疡,Treatment_Disease
2型糖尿病,糖尿病并发症,Treatment_Disease
HBA1Cc,糖尿病并发症,Treatment_Disease
免疫疗法,甲状腺相关眼病,Treatment_Disease
眼眶放射,TAO,Treatment_Disease
免疫治疗,TAO,Treatment_Disease
免疫抑制疗法,甲状腺相关眼病,Treatment_Disease
免疫抑制疗法,眼病,Treatment_Disease
靶向的免疫疗法,TAO,Treatment_Disease
靶向的免疫疗法,1型糖尿病,Treatment_Disease
靶向的免疫疗法,类风湿关节炎,Treatment_Disease
靶向的免疫疗法,自身免疫性疾病,Treatment_Disease
自身抗原靶向治疗,TAO,Treatment_Disease
T细胞靶向治疗,TAO,Treatment_Disease
抗细胞因子治疗,TAO,Treatment_Disease
B细胞靶向治疗,TAO,Treatment_Disease
血液透析,终末期肾脏疾病,Treatment_Disease
胰岛β细胞再生治疗,糖尿病,Treatment_Disease
β细胞再生治疗,糖尿病,Treatment_Disease
胰岛干细胞移植,2型糖尿病,Treatment_Disease
抗炎疗法,2型糖尿病,Treatment_Disease
脂肪酸受体活化,糖尿病,Treatment_Disease
靶向抗炎疗法,2型糖尿病,Treatment_Disease
脂肪酸受体活化,2型糖尿病,Treatment_Disease
限食疗法,内分泌代谢病,Treatment_Disease
限食疗法,代谢性疾病,Treatment_Disease
限食疗法,代谢综合征,Treatment_Disease
降糖治疗,2型糖尿病,Treatment_Disease
降糖治疗,肝脏进展性纤维化,Treatment_Disease
补钾,低钾血症,Treatment_Disease
补钾,Bartter综合征,Treatment_Disease
调脂,Bartter综合征,Treatment_Disease
护肝,Bartter综合征,Treatment_Disease
纠正低血钾和碱中毒,经典型BS,Treatment_Disease
补钾,经典型BS,Treatment_Disease
纠正电解质紊乱,DKA,Treatment_Disease
强化治疗,2型糖尿病,Treatment_Disease
早期强化治疗,2型糖尿病,Treatment_Disease
强化空腹高血糖控制,2型糖尿病,Treatment_Disease
早期强化治疗,糖尿病并发症,Treatment_Disease
细胞替代治疗,糖尿病,Treatment_Disease
hES细胞治疗,失明,Treatment_Disease
hES细胞治疗,Stargardt忆s黄斑营养不良,Treatment_Disease
hES细胞治疗,干性年龄相关性黄斑变性,Treatment_Disease
hES细胞治疗,黄斑变性,Treatment_Disease
干细胞技术,糖尿病,Treatment_Disease
移植治疗,糖尿病,Treatment_Disease
iPS细胞自体移植,糖尿病,Treatment_Disease
干细胞移植治疗,糖尿病,Treatment_Disease
自体非清髓造血干细胞移植(AHST),1型糖尿病,Treatment_Disease
自体非清髓造血干细胞移植(AHST),T1DM,Treatment_Disease
AHST治疗,T1DM,Treatment_Disease
AHST,T1DM,Treatment_Disease
经胰腺动脉自体骨髓干细胞移植,T2DM,Treatment_Disease
经胰腺动脉自体骨髓干细胞移植,2型糖尿病,Treatment_Disease
高压氧,T2DM,Treatment_Disease
高压氧,2型糖尿病,Treatment_Disease
选择性胃十二指肠动脉内输注自体骨髓干细胞,T2DM,Treatment_Disease
导管移植自体骨髓干细胞,T2DM,Treatment_Disease
肘前静脉输注外周血干细胞,T2DM,Treatment_Disease
自体骨髓干细胞移植,T2DM,Treatment_Disease
干细胞技术,甲状腺疾病,Treatment_Disease
干细胞技术,肾上腺疾病,Treatment_Disease
AHST,酮症酸中毒,Treatment_Disease
综述,2型糖尿病,Treatment_Disease
综述,T2DM,Treatment_Disease
放射治疗,甲状腺疾病,Treatment_Disease
靶向治疗,放射性碘难治性甲状腺癌,Treatment_Disease
放射性碘,GD,Treatment_Disease
RAI,GD,Treatment_Disease
RAI,甲状腺肿,Treatment_Disease
RAI,微小PTC,Treatment_Disease
RAI,PTC,Treatment_Disease
RAI,肿瘤,Treatment_Disease
RAI,分化型甲状腺癌,Treatment_Disease
RAI,进展型甲状腺癌,Treatment_Disease
RAI,黏液性水肿昏迷,Treatment_Disease
RAI,DTC,Treatment_Disease
激素替代治疗,肥胖,Treatment_Disease
骨髓干细胞治疗,糖尿病,Treatment_Disease
再生治疗,糖尿病,Treatment_Disease
饮食调整,肥胖,Treatment_Disease
饮食调整,2型糖尿病,Treatment_Disease
饮食调整,代谢性疾病,Treatment_Disease
运动干预,肥胖,Treatment_Disease
运动干预,2型糖尿病,Treatment_Disease
运动干预,代谢性疾病,Treatment_Disease
限食减重,肥胖,Treatment_Disease
限食减重,2型糖尿病,Treatment_Disease
限食减重,代谢性疾病,Treatment_Disease
限食,代谢性疾病,Treatment_Disease
限食疗法,脂肪肝,Treatment_Disease
限食疗法,神经系统退行性病变,Treatment_Disease
减重治疗,肥胖症,Treatment_Disease
限食疗法,肥胖症,Treatment_Disease
限食,肥胖症,Treatment_Disease
绝对禁食,肥胖,Treatment_Disease
禁食,肥胖,Treatment_Disease
间断限食联合连续限食,肥胖,Treatment_Disease
间断限食,肥胖,Treatment_Disease
间断极低热量限食方案,肥胖,Treatment_Disease
标准饮食控制,肥胖,Treatment_Disease
间断极低热量限食,超重,Treatment_Disease
间断极低热量限食,肥胖,Treatment_Disease
间断限食热量限制,超重,Treatment_Disease
间断限食热量限制,肥胖,Treatment_Disease
连续限食,超重,Treatment_Disease
连续限食,肥胖,Treatment_Disease
间断限食,超重,Treatment_Disease
限食,睡眠呼吸暂停综合征,Treatment_Disease
限食,多囊卵巢综合征,Treatment_Disease
强化生化方式,超重,Treatment_Disease
强化生化方式,肥胖,Treatment_Disease
强化生化方式,2型糖尿病,Treatment_Disease
强化生化方式,心血管疾病,Treatment_Disease
强化生活方式,超重,Treatment_Disease
强化生活方式,肥胖,Treatment_Disease
强化生活方式,2型糖尿病,Treatment_Disease
强化生活方式,心血管疾病,Treatment_Disease
强化生活方式,心血管事件,Treatment_Disease
生活方式干预减重,糖尿病,Treatment_Disease
生活方式干预减重,死亡,Treatment_Disease
食欲控制,肥胖,Treatment_Disease
限食治疗,肥胖,Treatment_Disease
减重,肥胖,Treatment_Disease
运动,肥胖,Treatment_Disease
饮食控制,肥胖,Treatment_Disease
锻炼,肥胖,Treatment_Disease
限制饮食,肥胖,Treatment_Disease
生酮饮食,肥胖,Treatment_Disease
低脂限食,肥胖,Treatment_Disease
低碳水化合物饮食,肥胖,Treatment_Disease
限食,高血脂,Treatment_Disease
限食,高血压,Treatment_Disease
限食,高血糖,Treatment_Disease
限食,高胰岛素血症,Treatment_Disease
限食,心血管疾病,Treatment_Disease
限食,胰岛素抵抗,Treatment_Disease
血液透析,尿毒症,Treatment_Disease
血液透析,糖尿病肾病,Treatment_Disease
脏器囊肿,妊娠糖尿病,Treatment_Disease
低GL膳食,糖尿病,Treatment_Disease
低GL膳食,2型糖尿病,Treatment_Disease
低GL膳食,糖尿病大血管并发症,Treatment_Disease
骨髓内皮祖细胞移植治疗,周围神经病变,Treatment_Disease
骨髓内皮祖细胞移植治疗,糖尿病,Treatment_Disease
EPCs移植,DPN,Treatment_Disease
严格控制血糖,DPN,Treatment_Disease
改善微循环,DPN,Treatment_Disease
抗氧化应激,DPN,Treatment_Disease
营养神经,DPN,Treatment_Disease
骨髓干细胞移植,糖尿病神经病变,Treatment_Disease
补钙,PHPT,Treatment_Disease
骨保护,骨质疏松,Treatment_Disease
降铁,铁蓄积,Treatment_Disease
降铁,骨质疏松,Treatment_Disease
抗血小板治疗,中风,Treatment_Disease
抗血小板治疗,糖尿病,Treatment_Disease
抗血小板治疗,PAD,Treatment_Disease
溶栓,高血糖血症,Treatment_Disease
溶栓,颅内出血,Treatment_Disease
抗血小板治疗,动脉粥样硬化,Treatment_Disease
抗血小板治疗,心肌梗死,Treatment_Disease
抗血小板治疗,MI,Treatment_Disease
抗血小板治疗,死亡,Treatment_Disease
下肢缺血截肢,动脉粥样硬化,Treatment_Disease
下肢缺血截肢,PAD,Treatment_Disease
抗血小板治疗,心脑血管病,Treatment_Disease
抗血小板,糖尿病,Treatment_Disease
抗凝治疗,糖尿病,Treatment_Disease
输入含糖液体,FT1D,Treatment_Disease
生活方式干预,糖尿病,Treatment_Disease
睾酮替代治疗,IHH,Treatment_Disease
HCG/HMG联合生精治疗,IHH,Treatment_Disease
脉冲式GnRH生精治疗,IHH,Treatment_Disease
非激素治疗,围绝经期综合征,Treatment_Disease
单一雌激素,围绝经期综合征,Treatment_Disease
雌孕激素周期序贯,围绝经期综合征,Treatment_Disease
雌孕激素连续联合,围绝经期综合征,Treatment_Disease
绝经相关激素治疗,围绝经期综合征,Treatment_Disease
MHT,围绝经期综合征,Treatment_Disease
肠内外营养,糖尿病,Treatment_Disease
机械通气,ICU,Treatment_Disease
严密的血糖监测,稳定的高血糖,Treatment_Disease
严密的血糖监测,围术期血糖波动,Treatment_Disease
及时调整降糖治疗方案,围术期血糖波动,Treatment_Disease
及时调整降糖治疗方案,稳定的高血糖,Treatment_Disease
<250mg/dl(13.9retool/L),渗透性利尿,Treatment_Disease
<250mg/dl(13.9retool/L),高渗性脱水,Treatment_Disease
<250mg/dl(13.9retool/L),低钾血症,Treatment_Disease
服糖,Whipple三联症,Treatment_Disease
服糖,低血糖症,Treatment_Disease
激素替代,自身免疫性垂体炎,Treatment_Disease
激素治,垂体炎,Treatment_Disease
放射治疗,生殖细胞瘤,Treatment_Disease
内科免疫治疗,自身免疫性垂体炎,Treatment_Disease
免疫治疗,自身免疫性垂体炎,Treatment_Disease
大剂量冲击治疗,自身免疫性垂体炎,Treatment_Disease
激素冲击,淋巴细胞性垂体炎,Treatment_Disease
免疫治疗,颅内占位,Treatment_Disease
放射治疗,垂体肿块,Treatment_Disease
立体定向放射治疗,垂体肿块,Treatment_Disease
γ刀手术治疗,垂体肿块,Treatment_Disease
免疫治疗,垂体肿块,Treatment_Disease
激素替代治疗,尿崩症,Treatment_Disease
激素替代,尿崩症,Treatment_Disease
激素替代治疗,颅内占位,Treatment_Disease
免疫治疗,肿瘤,Treatment_Disease
抗肿瘤,自身免疫功能紊乱,Treatment_Disease
激素治疗,垂体肿块,Treatment_Disease
替代缺乏的激素,高催乳素血症,Treatment_Disease
激素替代治疗,激素缺乏,Treatment_Disease
抗肿瘤,免疫相关不良反应,Treatment_Disease
激素冲击,恶性肿瘤,Treatment_Disease
护肝,Graves病,Treatment_Disease
